brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
BMW,Z4 sDrive28i,2014,"70,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,"$20,000"
Bentley,Continental GTC Base,2011,"20,200 mi.",E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,"$79,950"
Honda,Passport Elite,2023,"2,978 mi.",Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,,"$45,498"
Dodge,Sprinter 2500,2007,"189,719 mi.",Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,"$14,000"
BMW,M850 i xDrive,2019,"9,949 mi.",Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,,"$75,798"
Lucid,Air Grand Touring,2022,"3,552 mi.",,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,None reported,Yes,"$119,999"
Audi,A7 Premium,2012,"54,000 mi.",Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,"$36,880"
Chevrolet,Silverado 1500 Custom Trail Boss,2021,"51,351 mi.",Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,"$43,147"
MINI,Convertible John Cooper Works,2017,"24,280 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$29,000"
Toyota,Avalon Touring,2016,"89,148 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$17,500"
Porsche,Cayenne Platinum Edition,2017,"73,043 mi.",Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$30,990"
Mercedes-Benz,AMG C 63 S,2017,"60,000 mi.",Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,"$52,500"
Honda,CR-V EX-L,2016,"73,549 mi.",Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,,"$20,848"
Hummer,H2 Base,2005,"110,900 mi.",Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"$19,500"
Porsche,911 Carrera S,2013,"39,000 mi.",Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,"$73,000"
Mercedes-Benz,CLA-Class CLA 250,2016,"120,000 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$19,800"
Chrysler,300 Touring,2009,"134,602 mi.",Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,"$7,500"
Nissan,Rogue SV,2023,"1,094 mi.",Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,,"$30,999"
Audi,A3 2.0T,2010,"83,500 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,"$6,500"
Ford,Mustang GT Premium,2014,"37,060 mi.",Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,"$28,500"
Acura,RL Technology,2010,"97,700 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,"$10,995"
Volvo,XC90 Hybrid T8 R-Design,2018,"40,000 mi.",Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$42,000"
Audi,R8 5.2 V10,2018,"8,940 mi.",Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,,"$144,900"
Mercedes-Benz,GLK-Class GLK 350,2014,"186,000 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$10,000"
Toyota,C-HR LE,2021,"13,180 mi.",Gasoline,2.0 Liter,CVT-F,–,–,None reported,,"$23,998"
Lexus,IS 350 Base,2014,"104,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$21,000"
BMW,X4 M40i,2023,"8,500 mi.",Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,"$67,900"
BMW,M4 CS,2019,"19,069 mi.",Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,,"$69,998"
Cadillac,CT5 Premium Luxury,2023,"6,090 mi.",Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,"$46,900"
Lucid,Air Grand Touring,2022,"4,900 mi.",,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,"$99,000"
Audi,A5 2.0T Premium Plus,2019,"47,523 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$31,000"
Chrysler,300C SRT8,2006,"43,000 mi.",Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,"$19,995"
Bentley,Continental GT W12,2017,"14,684 mi.",Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,"$130,000"
BMW,M4 Base,2019,"57,800 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,"$55,999"
Toyota,GR Corolla Circuit Edition,2023,952 mi.,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,"$49,950"
Audi,RS 5 2.9T,2019,"21,240 mi.",Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$59,950"
Porsche,Cayenne Base,2019,"59,338 mi.",Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$42,499"
Lamborghini,Huracan Tecnica Coupe,2023,255 mi.,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,,"$359,991"
Maserati,Quattroporte S,2019,"23,230 mi.",Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$44,999"
Jaguar,XF 35t R-Sport,2017,"48,000 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,"$30,000"
Lexus,ES 330 Base,2005,"41,059 mi.",Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,"$11,100"
Land,Rover Discovery Sport SE R-Dynamic,2020,"21,240 mi.",Gasoline,2.0 Liter,Automatic,White,Black,None reported,,"$37,998"
Porsche,Cayman GTS,2015,"11,500 mi.",Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,–,None reported,Yes,"$72,000"
Genesis,G90 3.3T Premium,2021,"9,950 mi.",Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,None reported,Yes,"$53,950"
Volkswagen,Golf R 20th Anniversary Edition,2023,633 mi.,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,"$47,999"
Hyundai,Sonata Hybrid Limited,2015,"66,000 mi.",Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,"$15,900"
Audi,RS 7 4.0T Prestige,2014,"59,715 mi.",Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$45,000"
BMW,740 Li,2012,"85,252 mi.",Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$18,500"
Mercedes-Benz,GLS 450 Base 4MATIC,2020,"17,900 mi.",Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$80,000"
BMW,M6 Base,2016,"25,500 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,"$55,000"
Subaru,Forester 2.5 X,2004,"210,703 mi.",Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,,,"$2,300"
Hyundai,Elantra N Base,2023,"3,800 mi.",Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,"$34,000"
Kia,Niro Plug-In Hybrid EX Premium,2022,"36,602 mi.",Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,None reported,Yes,"$31,995"
Rivian,R1S Adventure Package,2023,"2,800 mi.",,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Green,None reported,Yes,"$92,000"
Aston,Martin DBS Superleggera,2021,"2,165 mi.",Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,Yes,"$279,950"
Mercedes-Benz,SLC 300 Base,2018,"33,000 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,"$29,900"
BMW,435 Gran Coupe i,2016,"76,009 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,"$24,950"
Jeep,Grand Cherokee Summit,2020,"31,349 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,,"$39,366"
Lexus,RC 350 Base,2015,"48,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,"$32,900"
BMW,525 i,2005,"91,420 mi.",Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$8,900"
Toyota,Corolla LE,2003,"124,756 mi.",Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,"$4,995"
Cadillac,CT5-V Blackwing,2023,"2,415 mi.",Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,None reported,,"$104,900"
GMC,Acadia SLT-1,2012,"116,226 mi.",Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$7,900"
Lexus,LC 500 Base,2020,"37,869 mi.",Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,None reported,,"$75,950"
BMW,i8 Base,2019,"41,500 mi.",Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$86,000"
Lexus,ES 300h Base,2013,"87,001 mi.",Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,None reported,Yes,"$17,995"
Cadillac,CT5-V V-Series,2022,"4,451 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,"$55,655"
BMW,540 i xDrive,2020,"27,158 mi.",Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,,"$39,998"
Chevrolet,Express 1500 Work Van,2014,"139,804 mi.",Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,"$14,500"
Jeep,Gladiator Rubicon,2022,"27,300 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,"$47,500"
BMW,Z4 sDrive28i,2014,"36,812 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,"$27,000"
Land,Rover LR4 HSE LUX Landmark Edition,2016,"144,000 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$18,000"
Cadillac,XT4 Sport,2019,"44,500 mi.",Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,None reported,Yes,"$28,900"
BMW,750 750i xDrive,2021,"10,917 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,,"$73,998"
Bentley,Arnage R,2005,"8,332 mi.",Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None reported,Yes,"$47,350"
Lincoln,Aviator Reserve AWD,2020,"51,247 mi.",Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,,"$47,698"
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,"69,000 mi.",Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,"$36,500"
RAM,ProMaster 3500 High Roof,2021,"147,834 mi.",Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,"$32,662"
Ford,Utility Police Interceptor Base,2013,"105,000 mi.",E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,"$6,600"
Audi,A5 2.0T Premium,2011,"92,203 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,"$9,995"
Nissan,GT-R Premium,2010,"15,600 mi.",Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$69,500"
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,"104,700 mi.",Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,,"$30,775"
Toyota,Corolla LE,2010,"72,348 mi.",Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,"$9,995"
Rivian,R1S Adventure Package,2023,"2,500 mi.",,835.0HP Electric Motor Electric Fuel System,A/T,Green,White,None reported,Yes,"$94,000"
Mercedes-Benz,C-Class C300 4MATIC,2022,"13,177 mi.",Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,None reported,,"$44,798"
Porsche,Cayenne E-Hybrid S,2016,"96,000 mi.",Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,"$23,000"
Chevrolet,Express 1500 Work Van,2011,"93,009 mi.",E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,Summit White,Medium Pewter,None reported,Yes,"$22,495"
INFINITI,Q70h Base,2016,"52,750 mi.",Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$28,998"
Audi,A7 Premium Plus,2020,"25,361 mi.",Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,None reported,,"$49,998"
Audi,Q7 3.0T Premium Plus,2015,"98,527 mi.",Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,,,"$9,995"
Lucid,Air Pure,2023,"1,300 mi.",,620.0HP Electric Motor Electric Fuel System,A/T,Black,Gray,,,"$86,900"
Chrysler,Pacifica Touring,2017,"87,305 mi.",–,–,9-Speed A/T,Silver,Black,None reported,Yes,"$9,000"
Audi,TTS 2.0T Premium Plus,2012,"72,922 mi.",Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,,,"$25,999"
BMW,650 Gran Coupe i xDrive,2015,"41,000 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$30,000"
Subaru,Forester Premium,2021,"42,125 mi.",Gasoline,2.5L H4 16V GDI DOHC,Automatic CVT,Crystal Black Silica,Black,None reported,Yes,"$27,899"
Mercedes-Benz,AMG C AMG C 63,2016,"62,000 mi.",Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$40,000"
Land,Rover LR3 HSE,2006,"153,843 mi.",Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,"$9,950"
BMW,X7 xDrive40i,2019,"35,248 mi.",Gasoline,3.0 Liter Twin Turbo,Automatic,Arctic Gray Metallic,Black,None reported,,"$53,998"
Ford,Transit Connect XLT,2015,"194,454 mi.",Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,"$9,888"
Lexus,LX 570 Three-Row,2021,"21,000 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$89,999"
Porsche,911 Carrera S,2013,"18,494 mi.",Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,Black,,,"$86,900"
Dodge,Ram 2500 Laramie Quad Cab,2006,"218,000 mi.",Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,None reported,Yes,"$12,990"
Nissan,Armada SL,2021,"67,800 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,"$36,500"
Porsche,Cayman Base,2014,"79,000 mi.",Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,"$42,999"
Mercedes-Benz,GLE 450 GLE 450,2022,"24,906 mi.",Hybrid,3.0 Liter Turbo,Automatic,Selenite Grey Metallic,Black,None reported,,"$63,998"
Chevrolet,Monte Carlo SS,2006,"66,840 mi.",Gasoline,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,"$12,000"
BMW,M5 Base,2013,"86,000 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,White,None reported,Yes,"$32,000"
Hyundai,Kona N Base,2023,654 mi.,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic with Auto-Shift,Ultra Black,Black,None reported,Yes,"$34,599"
Chevrolet,Monte Carlo SS,2005,"75,000 mi.",Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$12,500"
Land,Rover Range Rover Evoque Pure,2015,"84,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,"$22,800"
